Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
203,316758,516.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
204,316758,781.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
205,316758,1089.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
206,316758,1602.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
207,316766,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
208,316766,363.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
209,316766,588.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
210,316766,871.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
211,316766,1267.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
212,316766,1897.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
213,316876,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
214,316876,295.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
215,316876,461.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
216,316876,479.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
217,316876,607.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
